date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:18	3419/3419	---M-Z	200	added ('OK')	application/javascript	etag:%22d5b-59023d6e-533b3273ac65f0b2;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/wow.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/wow.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:19	2993/2993	---M-Z	200	added ('OK')	application/javascript	etag:%22bb1-59023d6e-df845eb878da7292;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/retina-1.1.0.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/retina-1.1.0.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:19	12636/12636	---M-Z	200	added ('OK')	application/javascript	etag:%22315c-59023d6e-e50c97356de0ecb;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.stellar.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.stellar.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:20	5443/5443	---M-Z	200	added ('OK')	application/javascript	etag:%221543-59023d6e-e5a1bf3ae0dbb4cf;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.nav.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.nav.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:20	1700/1700	---M-Z	200	added ('OK')	application/javascript	etag:%226a4-59023d6e-f64c30b6434cad85;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/matchMedia.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/matchMedia.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:20	2369/2369	---M-Z	200	added ('OK')	application/javascript	etag:%22941-59023d6e-ff7293482bc605a9;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.ajaxchimp.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.ajaxchimp.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:20	3262/3262	---M-Z	200	added ('OK')	application/javascript	etag:%22cbe-59023d6e-40ac62bb8d9f58e4;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.fitvids.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.fitvids.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:21	1840/1840	---M-Z	200	added ('OK')	application/javascript	etag:%22730-59023d6e-92cefa9b629cd34d;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/demo/styleswitcher.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/demo/styleswitcher.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:21	9364/9364	---M-Z	200	added ('OK')	application/javascript	etag:%222494-59023d6e-4c9ada9f4c1e8754;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/custom.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/custom.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:21	407/407	---M-Z	200	added ('OK')	application/javascript	etag:%22197-59023d6e-d44e0b79f7583639;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/demo/demo.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/demo/demo.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
